resid,leaflet,X coords,Y coords,Z coords,Thickness
8382,lower leaflet,46.497,26.853,2.083,4.134
8383,lower leaflet,34.211,34.321,2.528,4.085
8384,lower leaflet,51.848,5.255,1.775,4.399
8385,lower leaflet,10.682,7.505,1.469,4.367
8386,lower leaflet,3.675,5.522,1.742,4.447
8387,lower leaflet,27.691,46.775,2.150,4.193
8388,lower leaflet,53.843,40.105,2.175,3.578
8389,lower leaflet,42.453,45.315,1.844,4.052
8390,lower leaflet,6.085,24.683,2.379,4.144
8391,lower leaflet,35.249,31.905,2.376,4.097
8392,lower leaflet,10.455,39.694,2.147,3.937
8393,lower leaflet,54.473,49.369,1.819,4.183
8394,lower leaflet,49.906,20.254,2.619,4.109
8395,lower leaflet,42.641,26.570,1.551,3.839
8396,lower leaflet,32.974,18.653,2.471,4.363
8397,lower leaflet,8.070,17.497,1.733,4.245
8398,lower leaflet,25.807,16.562,1.894,4.232
8399,lower leaflet,24.117,14.881,1.704,4.358
8400,lower leaflet,29.673,26.675,2.068,4.123
8401,lower leaflet,11.901,42.713,1.795,3.933
8402,lower leaflet,2.370,48.211,1.546,4.046
8403,lower leaflet,25.737,43.894,2.251,4.232
8404,lower leaflet,50.968,50.637,2.140,4.098
8405,lower leaflet,32.161,1.451,2.180,4.428
8406,lower leaflet,29.681,13.468,1.519,4.232
8407,lower leaflet,25.623,8.786,1.886,4.463
8408,lower leaflet,30.581,29.369,1.993,4.277
8409,lower leaflet,8.122,48.590,2.075,4.306
8410,lower leaflet,7.242,29.207,1.967,3.757
8411,lower leaflet,41.164,0.220,1.732,4.362
8412,lower leaflet,29.467,39.585,2.170,4.146
8413,lower leaflet,46.447,50.747,2.236,4.224
8414,lower leaflet,0.167,32.745,2.287,3.422
8415,lower leaflet,3.484,35.798,2.389,3.686
8416,lower leaflet,53.093,46.376,2.264,4.115
8417,lower leaflet,45.444,11.269,1.874,4.484
8418,lower leaflet,23.558,10.093,1.676,4.173
8419,lower leaflet,42.745,52.637,1.704,4.113
8420,lower leaflet,52.731,45.861,2.334,4.259
8421,lower leaflet,27.282,28.972,2.263,3.908
8422,lower leaflet,9.863,29.090,2.153,3.919
8423,lower leaflet,8.892,53.838,1.709,4.460
8424,lower leaflet,46.494,47.356,1.680,3.768
8425,lower leaflet,16.036,25.281,1.926,4.129
8426,lower leaflet,52.682,4.901,1.607,4.495
8427,lower leaflet,48.934,11.187,1.470,4.391
8428,lower leaflet,26.402,31.846,2.087,3.874
8429,lower leaflet,54.114,21.850,1.972,4.078
8430,lower leaflet,20.084,49.979,2.005,4.587
8431,lower leaflet,38.284,7.793,2.020,4.463
8432,lower leaflet,50.697,25.257,1.811,4.090
8433,lower leaflet,51.551,53.665,2.188,4.185
8434,lower leaflet,54.090,12.417,1.962,4.292
8435,lower leaflet,14.955,15.814,2.072,4.364
8436,lower leaflet,51.803,28.096,2.322,3.716
8437,lower leaflet,26.383,43.413,2.272,4.206
8438,lower leaflet,18.937,45.404,1.998,3.883
8439,lower leaflet,17.147,45.569,2.239,4.104
8440,lower leaflet,3.370,45.714,2.149,3.782
8441,lower leaflet,19.240,43.981,2.330,4.180
8442,lower leaflet,44.621,47.754,1.611,3.792
8443,lower leaflet,51.817,13.810,1.801,4.435
8444,lower leaflet,30.691,47.408,1.899,3.985
8445,lower leaflet,1.085,24.874,2.326,3.554
8446,lower leaflet,31.606,44.540,2.068,3.915
8447,lower leaflet,18.875,19.067,1.791,4.253
8448,lower leaflet,17.917,35.071,2.321,4.152
8449,lower leaflet,43.298,19.618,2.093,4.242
8450,lower leaflet,16.114,31.402,2.116,4.176
8451,lower leaflet,45.942,26.199,2.035,4.145
8452,lower leaflet,16.520,16.639,2.255,4.361
8453,lower leaflet,8.687,25.434,2.034,3.995
8454,lower leaflet,14.356,3.444,1.708,4.357
8455,lower leaflet,33.748,43.465,2.061,3.858
8456,lower leaflet,52.895,15.350,2.063,4.326
8457,lower leaflet,36.537,24.059,1.604,3.818
8458,lower leaflet,36.001,25.257,2.169,3.763
8459,lower leaflet,15.934,44.627,1.980,4.109
8460,lower leaflet,10.705,46.135,2.018,4.165
